time rna1_[0,0]_mean rna1_[0,0]_sd rna1_[0,0]_ci rna2_[0,0]_mean rna2_[0,0]_sd rna2_[0,0]_ci rna3_[0,0]_mean rna3_[0,0]_sd rna3_[0,0]_ci protein1_[0,0]_mean protein1_[0,0]_sd protein1_[0,0]_ci protein2_[0,0]_mean protein2_[0,0]_sd protein2_[0,0]_ci protein3_[0,0]_mean protein3_[0,0]_sd protein3_[0,0]_ci
73.000000 26.094000 5.196553 0.322470 10.815000 3.281698 0.203645 2.792000 6.571447 0.407789 47.886000 10.998999 0.682539 15.497000 4.997296 0.310106 2.473000 5.988416 0.371609
74.000000 26.141000 5.271898 0.327146 10.825000 3.338491 0.207169 2.732000 6.488935 0.402669 48.609000 11.132208 0.690806 15.484000 4.944309 0.306818 2.450000 6.029084 0.374133
75.000000 25.935000 5.093792 0.316094 10.793000 3.375136 0.209443 2.629000 6.263912 0.388705 48.226000 10.737608 0.666319 15.626000 5.009513 0.310864 2.364000 5.777100 0.358496
76.000000 26.072000 5.057113 0.313818 10.801000 3.275993 0.203291 2.703000 6.546117 0.406217 47.747000 10.724552 0.665509 15.574000 5.017539 0.311362 2.483000 6.088249 0.377804
77.000000 26.177000 5.005870 0.310638 10.862000 3.267971 0.202793 2.650000 6.439796 0.399620 47.957000 10.971031 0.680804 15.620000 5.094267 0.316123 2.377000 5.842346 0.362545
78.000000 26.239000 5.198741 0.322606 10.836000 3.290278 0.204177 2.670000 6.365031 0.394980 48.035000 11.185029 0.694083 15.879000 5.258708 0.326327 2.314000 5.711569 0.354430
79.000000 26.193000 5.318462 0.330035 10.929000 3.250311 0.201697 2.721000 6.424674 0.398681 48.075000 10.767419 0.668169 15.700000 5.061780 0.314107 2.458000 5.900767 0.366170
80.000000 26.169000 5.120220 0.317734 10.756000 3.305358 0.205113 2.722000 6.398098 0.397032 47.632000 10.468054 0.649592 15.632000 5.173910 0.321065 2.425000 5.795167 0.359617
81.000000 26.162000 4.952200 0.307307 10.815000 3.263959 0.202544 2.736000 6.506661 0.403769 47.944000 10.681056 0.662810 15.298000 5.049028 0.313316 2.434000 5.867885 0.364130
82.000000 26.085000 4.885042 0.303140 10.761000 3.226188 0.200200 2.736000 6.458949 0.400808 48.422000 10.680636 0.662784 15.548000 5.065506 0.314338 2.462000 5.949450 0.369191
83.000000 26.328000 4.930794 0.305979 10.730000 3.285102 0.203856 2.791000 6.541415 0.405925 48.375000 10.608247 0.658291 15.562000 4.877904 0.302697 2.391000 5.671533 0.351945
84.000000 26.231000 4.875388 0.302541 10.681000 3.199606 0.198551 2.855000 6.709172 0.416336 48.419000 10.463122 0.649286 15.581000 4.868793 0.302131 2.538000 6.078610 0.377206
85.000000 26.281000 5.058421 0.313899 10.796000 3.166135 0.196473 2.881000 6.680979 0.414586 48.211000 10.271416 0.637389 15.519000 4.842633 0.300508 2.512000 5.997485 0.372172
86.000000 26.121000 4.973036 0.308600 10.812000 3.276796 0.203341 2.876000 6.606684 0.409976 48.349000 10.495969 0.651324 15.522000 5.014246 0.311157 2.533000 5.963764 0.370079
87.000000 26.059000 4.952782 0.307343 10.872000 3.381871 0.209861 2.901000 6.760540 0.419523 48.127000 10.221906 0.634317 15.474000 4.997629 0.310126 2.548000 5.966347 0.370240
88.000000 26.170000 4.992998 0.309839 10.785000 3.364535 0.208785 2.806000 6.625425 0.411139 48.123000 10.239371 0.635401 15.610000 5.118603 0.317633 2.570000 6.206901 0.385167
89.000000 26.185000 5.045218 0.313079 10.535000 3.211400 0.199282 2.710000 6.439672 0.399612 48.300000 10.759729 0.667692 15.583000 5.144081 0.319214 2.470000 6.017251 0.373399
90.000000 26.119000 4.934490 0.306208 10.811000 3.224232 0.200079 2.778000 6.652140 0.412796 48.345000 10.651828 0.660996 15.485000 4.857507 0.301431 2.460000 6.093565 0.378134
91.000000 26.194000 5.065968 0.314367 11.000000 3.281885 0.203656 2.737000 6.481345 0.402198 48.617000 10.772667 0.668494 15.568000 4.729243 0.293472 2.469000 5.954872 0.369528
92.000000 26.072000 5.065419 0.314333 10.788000 3.302114 0.204912 2.809000 6.617576 0.410652 48.143000 10.685070 0.663059 15.866000 5.020084 0.311520 2.381000 5.708978 0.354269
93.000000 26.046000 4.978420 0.308934 10.688000 3.308716 0.205321 2.735000 6.499309 0.403313 48.160000 10.397332 0.645203 15.647000 4.968408 0.308313 2.377000 5.698539 0.353621
94.000000 26.021000 4.855732 0.301321 10.594000 3.301221 0.204856 2.714000 6.451032 0.400317 47.790000 10.146371 0.629630 15.482000 5.027221 0.311963 2.476000 6.059550 0.376023
95.000000 26.088000 5.048142 0.313261 10.731000 3.313551 0.205621 2.668000 6.352490 0.394202 47.673000 10.130187 0.628626 15.305000 4.922215 0.305447 2.417000 5.932816 0.368159
96.000000 26.193000 5.088383 0.315758 10.733000 3.207803 0.199059 2.605000 6.200276 0.384756 47.995000 10.492334 0.651098 15.344000 4.988843 0.309581 2.325000 5.709814 0.354321
97.000000 26.213000 5.130492 0.318371 10.815000 3.363345 0.208711 2.629000 6.349935 0.394043 47.996000 10.420872 0.646664 15.426000 5.064798 0.314294 2.336000 5.747011 0.356629
98.000000 26.047000 5.090845 0.315911 10.580000 3.305530 0.205124 2.665000 6.383065 0.396099 48.229000 10.679167 0.662692 15.658000 5.090673 0.315900 2.289000 5.655923 0.350977
99.000000 26.199000 5.051427 0.313465 10.880000 3.409578 0.211580 2.653000 6.281246 0.389781 48.052000 10.488818 0.650880 15.483000 5.111344 0.317183 2.354000 5.734943 0.355880
100.000000 26.044000 5.103931 0.316723 10.788000 3.348473 0.207788 2.691000 6.436221 0.399398 47.894000 10.544950 0.654364 15.689000 5.236000 0.324918 2.407000 5.862057 0.363768
101.000000 26.018000 4.911598 0.304788 10.914000 3.348405 0.207784 2.703000 6.457127 0.400695 48.010000 10.557621 0.655150 15.800000 5.187573 0.321913 2.339000 5.743960 0.356440
102.000000 25.968000 4.903776 0.304302 10.650000 3.210577 0.199231 2.797000 6.540686 0.405880 47.993000 10.508919 0.652128 15.670000 5.075713 0.314972 2.426000 5.937658 0.368459
103.000000 26.010000 4.984249 0.309296 10.725000 3.210870 0.199250 2.829000 6.497998 0.403231 47.820000 10.462651 0.649257 15.616000 5.085313 0.315567 2.511000 5.889870 0.365494
104.000000 26.238000 4.943055 0.306740 10.874000 3.268763 0.202842 2.822000 6.475511 0.401836 48.165000 10.463233 0.649293 15.625000 4.921442 0.305399 2.564000 5.955281 0.369553
105.000000 26.031000 5.107066 0.316917 10.873000 3.378503 0.209652 2.870000 6.589881 0.408933 48.210000 10.599257 0.657734 15.538000 4.948641 0.307086 2.501000 5.874394 0.364534
106.000000 26.217000 5.317536 0.329978 10.715000 3.257051 0.202115 2.910000 6.626599 0.411212 48.293000 10.914774 0.677313 15.532000 5.058514 0.313905 2.603000 6.147942 0.381509
107.000000 25.958000 5.202432 0.322835 10.747000 3.180425 0.197360 2.992000 6.826605 0.423623 48.076000 10.891136 0.675846 15.450000 5.007652 0.310748 2.654000 6.166548 0.382663
108.000000 26.107000 5.280856 0.327702 10.724000 3.165097 0.196409 2.984000 6.865193 0.426017 47.836000 11.296137 0.700978 15.642000 4.977812 0.308897 2.690000 6.321856 0.392301
109.000000 26.064000 5.090955 0.315918 10.802000 3.121625 0.193711 3.034000 6.886383 0.427332 47.900000 11.017958 0.683716 15.566000 4.920961 0.305369 2.665000 6.227484 0.386445
110.000000 25.997000 5.075111 0.314934 10.732000 3.251884 0.201795 3.070000 6.999721 0.434365 47.878000 10.721850 0.665341 15.453000 4.908756 0.304611 2.724000 6.302980 0.391129
111.000000 26.091000 5.095752 0.316215 10.771000 3.310516 0.205433 3.006000 6.808107 0.422475 48.185000 10.769436 0.668294 15.712000 4.862170 0.301720 2.668000 6.209697 0.385341
112.000000 26.133000 5.106798 0.316901 10.785000 3.282613 0.203702 2.922000 6.623276 0.411005 48.085000 10.582711 0.656707 15.429000 5.042458 0.312908 2.575000 5.977466 0.370930
113.000000 25.996000 5.051485 0.313468 10.705000 3.298614 0.204694 2.995000 6.763040 0.419678 48.185000 10.516814 0.652618 15.556000 4.883924 0.303070 2.610000 6.068503 0.376579
114.000000 26.028000 5.002423 0.310424 10.810000 3.232700 0.200604 3.079000 6.860016 0.425696 48.105000 10.433160 0.647426 15.582000 5.076716 0.315034 2.732000 6.257102 0.388283
115.000000 25.802000 5.074697 0.314909 10.718000 3.301420 0.204869 3.126000 6.878040 0.426815 47.790000 10.832139 0.672185 15.511000 5.104109 0.316734 2.720000 6.132308 0.380538
116.000000 25.840000 5.086479 0.315640 10.864000 3.306121 0.205160 3.088000 6.753359 0.419078 47.612000 10.318524 0.640313 15.497000 4.922014 0.305434 2.805000 6.337597 0.393278
117.000000 25.988000 5.101753 0.316588 10.822000 3.444733 0.213762 3.197000 6.961369 0.431986 47.246000 10.113544 0.627593 15.659000 5.156482 0.319984 2.776000 6.281184 0.389777
118.000000 26.062000 5.187395 0.321902 10.649000 3.369741 0.209108 3.280000 7.175729 0.445288 47.688000 10.749521 0.667058 15.413000 5.131741 0.318449 2.904000 6.508236 0.403867
